phase,workload,workers,seq_ms,con_ms,speedup,p50,p95,p99
# metadata,commit=6c24953,build=Release,arch=apple
summary,random,4,37.6547,15.2667,2.46647,15.2667,15.3025,15.3025
raw,random,8,15.2933
raw,random,8,14.8791
raw,random,8,16.3544
raw,random,8,15.4179
raw,random,8,14.7764
raw,random,8,15.3182
raw,random,8,15.3588
raw,random,8,15.2897
raw,random,8,14.9207
raw,random,8,14.8525
summary,random,8,37.6547,15.2897,2.46276,15.2897,15.4179,15.4179
raw,random,1,57.6908
raw,random,1,61.548
raw,random,1,56.9411
raw,random,1,55.9258
raw,random,1,56.8012
raw,random,1,57.1218
raw,random,1,57.5179
raw,random,1,56.7667
raw,random,1,56.5193
raw,random,1,56.9043
summary,random,1,55.8653,56.9043,0.98174,56.9043,57.6908,57.6908
raw,random,2,34.2975
raw,random,2,34.354
raw,random,2,33.8053
raw,random,2,34.1918
raw,random,2,34.6855
raw,random,2,34.4796
raw,random,2,33.9935
raw,random,2,34.2744
raw,random,2,33.8663
raw,random,2,34.1985
summary,random,2,55.8653,34.1985,1.63356,34.1985,34.4796,34.4796
raw,random,4,23.1486
raw,random,4,23.213
raw,random,4,23.2467
raw,random,4,22.8828
raw,random,4,23.1508
raw,random,4,23.1365
raw,random,4,23.766
raw,random,4,22.7553
raw,random,4,22.701
raw,random,4,23.3224
summary,random,4,55.8653,23.1486,2.41333,23.1486,23.3224,23.3224
raw,random,8,23.0375
raw,random,8,23.0223
raw,random,8,23.0872
raw,random,8,22.8021
raw,random,8,23.1442
raw,random,8,23.0192
raw,random,8,23.1948
raw,random,8,23.2302
raw,random,8,23.1427
raw,random,8,22.7107
summary,random,8,55.8653,23.0375,2.42497,23.0375,23.1948,23.1948
